level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 420.0 198.089 1.16303 196.787 0.251579 0.0386799 0.876113 0.0237496 195.659 1.10925
0 840.0 115.739 1.72148 113.813 0.674367 0.140631 0.928795 0.0299598 112.412 1.37551
0 1260.0 76.4216 1.99258 74.212 0.708205 0.0675917 1.22642 0.0338728 72.8521 1.33181
0 1680.0 55.2669 2.27721 52.7185 0.717652 0.176156 1.40214 0.0520889 51.5823 1.09268
0 2100.0 43.5959 3.61562 39.6296 1.64951 0.104342 1.87553 0.0547041 38.7287 0.854504
0 2520.0 36.4668 4.17109 31.8681 1.88406 0.109902 2.18868 0.060623 31.0507 0.770991
0 2940.0 30.9151 3.74599 26.6431 0.944296 0.138373 2.67597 0.0570877 25.877 0.713532
0 3360.0 27.8484 4.29808 22.9878 0.914088 0.188407 3.2068 0.0645723 22.2711 0.666843
