level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 42.0 272.87 0.145459 272.671 0.0426569 0.012724 0.0902871 0.0363862 271.252 1.38486
0 420.0 25.8127 0.646324 25.0577 0.250201 0.279559 0.117051 0.0167025 24.0603 0.983623
0 840.0 12.2507 0.692968 11.2345 0.220296 0.196221 0.284481 0.0520728 10.4118 0.778384
0 1260.0 8.2508 0.700901 7.30313 0.26025 0.0816923 0.362415 0.0295656 6.72011 0.554918
0 1680.0 6.56638 0.789307 5.52065 0.305988 0.0762884 0.409038 0.0854211 4.90928 0.528758
0 2100.0 5.81445 0.801689 4.7683 0.348914 0.0751232 0.383015 0.0383308 4.28618 0.450581
