level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 1.0 30.0645 0.221677 27.567 0.040666 0.00123773 0.179774 0.128741 18.9265 8.51176
0 10.0 4.0043 0.458159 3.29717 0.20847 0.0109953 0.238694 0.0274211 2.42319 0.846792
0 20.0 2.62705 0.56592 1.85592 0.261942 0.0106802 0.293303 0.0178719 1.40087 0.437602
0 30.0 2.45944 0.780563 1.5482 0.302539 0.0105659 0.467524 0.0162783 1.23762 0.295863
0 40.0 2.42303 0.86228 1.39911 0.369926 0.0158398 0.476631 0.0106404 1.16235 0.226269
