level MATVEC(SIGMA) VECMAT(SIGMA) COMM(SIGMA) NORM(SIGMA) p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
4 0.014820 0.008806 0.000538 0.013688 1 3.97886 0.0217012 3.57883 0.0066198 0.00107644 0.014005 0.0152509 1.83361 1.72998
5 0.004093 0.002330 0.000198 0.005970 1 1.98077 0.0179719 1.70262 0.00373969 0.00103983 0.0131924 0.00679312 0.525887 1.16994
5 0.006305 0.003673 0.000266 0.009130 1 1.98642 0.0249655 1.68852 0.00346929 0.00102136 0.0204749 0.00855402 0.791511 0.888453
5 0.003585 0.002035 0.000178 0.004328 1 1.91967 0.0166175 1.6535 0.00370296 0.00103667 0.0118778 0.00635086 0.461725 1.18542
5 0.004072 0.002436 0.000192 0.005601 1 1.98243 0.0178807 1.69993 0.00372988 0.0010294 0.0131214 0.00668917 0.519254 1.17399
5 0.003384 0.001914 0.000172 0.004733 1 1.48987 0.0122173 1.24574 0.00361939 0.00103576 0.00756218 0.00618273 0.440452 0.799103
5 0.004505 0.002674 0.000207 0.007089 1 1.98172 0.0188686 1.69632 0.0037918 0.0010356 0.0140412 0.00709127 0.566394 1.12283
6 0.001647 0.001030 0.000110 0.003717 1 0.985635 0.0120548 0.747615 0.00341074 0.00103214 0.00761194 0.00467393 0.252531 0.49041
6 0.001122 0.000738 0.000083 0.002269 1 0.991467 0.0100211 0.76711 0.00318602 0.00102294 0.0058121 0.00396396 0.16833 0.594816
5 0.009289 0.005322 0.000364 0.011939 1 2.98109 0.0335241 2.59653 0.00480702 0.00107084 0.0276463 0.0110468 1.22293 1.36256
5 0.007075 0.004052 0.000292 0.007977 1 1.99688 0.0254929 1.73686 0.00312978 0.000365058 0.0219981 0.00714357 0.890509 0.839208
7 0.000176 0.000165 0.000036 0.000421 1 0.655098 0.0195515 0.381321 0.0149147 0.00184075 0.00279609 0.00681589 0.0294257 0.34508
7 0.000117 0.000116 0.000031 0.000260 1 0.660505 0.017934 0.443898 0.0142723 0.00181007 0.00185158 0.00490852 0.232695 0.206294
5 0.002946 0.001689 0.000157 0.005021 1 1.01459 0.0149926 0.767552 0.00357775 0.00102001 0.0103949 0.00574791 0.386106 0.375698
5 0.006360 0.003760 0.000269 0.008998 1 1.9851 0.024503 1.69677 0.00316119 0.000769296 0.0205725 0.00856832 0.800767 0.88743
5 0.003011 0.001794 0.000158 0.005138 1 1.4035 0.0153157 1.14205 0.00354516 0.00103184 0.0107387 0.00576636 0.394675 0.741609
5 0.003441 0.002097 0.000172 0.004183 1 1.61772 0.0147712 1.35742 0.00365321 0.00104659 0.0100714 0.00619811 0.447647 0.903578
6 0.000699 0.000491 0.000066 0.001620 1 0.982769 0.00891068 0.766708 0.00315087 0.00100436 0.00475545 0.00360896 0.116611 0.646487
6 0.000560 0.000386 0.000057 0.001414 1 0.983235 0.00835449 0.768837 0.00311062 0.00106352 0.00418036 0.00340703 0.0882346 0.677195
5 0.003777 0.002208 0.000184 0.006105 1 1.98576 0.0113497 1.72673 0.00363851 0.00103512 0.00667607 0.00641853 0.478101 1.24221
5 0.002669 0.001636 0.000146 0.004704 1 0.990903 0.014518 0.739218 0.00349953 0.00103335 0.00998508 0.00558068 0.365853 0.367784
5 0.002831 0.001715 0.000154 0.004913 1 0.992831 0.0148724 0.734598 0.00354599 0.00101992 0.0103065 0.00566729 0.377778 0.351153
5 0.003525 0.002066 0.000174 0.004240 1 1.89578 0.0164295 1.62621 0.00365644 0.00103414 0.0117389 0.00623591 0.453994 1.16598
6 0.001309 0.000818 0.000094 0.002662 1 0.989111 0.0107986 0.761611 0.0032618 0.00102591 0.00651087 0.00424937 0.201048 0.556314
6 0.001529 0.000949 0.000101 0.002956 1 0.988367 0.0113659 0.757187 0.00328739 0.0010435 0.00703497 0.00446385 0.225824 0.526899
7 0.000252 0.000207 0.000042 0.000635 1 0.864675 0.0218769 0.542839 0.0169325 0.00214035 0.00280406 0.0102059 0.0441734 0.48846
7 0.000422 0.000331 0.000049 0.001043 1 0.985568 0.00904815 0.763931 0.00410948 0.00118325 0.00375542 0.00392278 0.0711834 0.688825
5 0.004328 0.002480 0.000207 0.006443 1 1.98356 0.0185196 1.69867 0.00374805 0.00104215 0.0137294 0.00688192 0.549271 1.14252
5 0.004987 0.002897 0.000221 0.005745 1 1.98086 0.0198768 1.69155 0.00379491 0.00103237 0.0150496 0.00743953 0.622113 1.06199
6 0.001471 0.000961 0.000103 0.003040 1 0.987891 0.0114397 0.752974 0.00329331 0.00102162 0.00712479 0.00447109 0.230472 0.518031
6 0.002044 0.001284 0.000123 0.003600 1 0.985826 0.0128249 0.744814 0.00342246 0.00101629 0.00838614 0.00499985 0.29013 0.449684
5 0.004266 0.002426 0.000205 0.005841 1 1.98235 0.0182174 1.6987 0.00376276 0.00103285 0.0134218 0.00684017 0.537763 1.1541
5 0.004160 0.002415 0.000191 0.007237 1 1.9855 0.0179429 1.70392 0.00374361 0.00102317 0.0131761 0.00673154 0.523955 1.17324
7 0.000334 0.000281 0.000048 0.000866 1 0.985077 0.00875654 0.749076 0.00400074 0.00117676 0.00357904 0.00413938 0.0569794 0.687957
7 0.000651 0.000439 0.000060 0.001265 1 0.984929 0.00854879 0.769942 0.00310603 0.00101741 0.00442535 0.00348606 0.10054 0.665916
5 0.003233 0.001872 0.000162 0.005369 1 1.48725 0.0144709 1.22711 0.00359785 0.00103997 0.00983305 0.00590978 0.412403 0.808802
5 0.003153 0.001883 0.000160 0.004493 1 1.49037 0.0160682 1.23273 0.0036482 0.00103171 0.0113882 0.00600839 0.416079 0.810643
6 0.001584 0.001000 0.000107 0.003182 1 0.988326 0.0116423 0.752521 0.00330236 0.00103888 0.00730111 0.00453087 0.240394 0.507596
6 0.001991 0.001232 0.000121 0.003672 1 0.98659 0.0126653 0.746594 0.00345032 0.00102311 0.0081919 0.00493433 0.280477 0.461182
7 0.000558 0.000417 0.000061 0.001419 1 0.984413 0.00855867 0.770634 0.0030988 0.00101763 0.00444224 0.0034985 0.101149 0.665986
7 0.000550 0.000387 0.000056 0.001223 1 0.984503 0.00828603 0.769903 0.00308907 0.00106695 0.00413001 0.00337558 0.0865524 0.679975
6 0.001634 0.001008 0.000109 0.003222 1 0.988462 0.0118792 0.753668 0.00339225 0.00103393 0.00745304 0.00464821 0.245183 0.503837
6 0.001240 0.000814 0.000088 0.002428 1 0.990876 0.0104303 0.76389 0.00327384 0.00102415 0.00613231 0.00410205 0.18315 0.576637
6 0.001950 0.001204 0.000118 0.003148 1 0.986113 0.0126606 0.743428 0.00337242 0.00102382 0.00826435 0.00488193 0.283252 0.455295
6 0.001446 0.000934 0.000099 0.002994 1 0.988162 0.0113756 0.75637 0.0032663 0.00103676 0.00707254 0.00448802 0.227958 0.523923
6 0.001608 0.001002 0.000107 0.003145 1 0.989036 0.0117316 0.752973 0.00337701 0.00103062 0.00732396 0.00457142 0.237181 0.51122
6 0.001460 0.000919 0.000095 0.002813 1 0.988961 0.0111278 0.759359 0.00331817 0.00101949 0.00679014 0.00438253 0.213399 0.541578
6 0.002135 0.001264 0.000128 0.003456 1 0.9854 0.0130922 0.74271 0.0034005 0.00102647 0.00866524 0.00506769 0.302517 0.435126
6 0.001398 0.000905 0.000094 0.002707 1 0.988817 0.0108766 0.757842 0.00324416 0.00103394 0.00659848 0.00427475 0.204331 0.549235
6 0.002625 0.001562 0.000146 0.004242 1 0.99281 0.0143174 0.73807 0.00349767 0.00100784 0.00981188 0.0054597 0.35502 0.37759
6 0.002894 0.001752 0.000151 0.004959 1 1.00016 0.0149243 0.744944 0.00353367 0.00101776 0.0103728 0.00574144 0.383308 0.355895
6 0.001943 0.001165 0.000119 0.003613 1 0.986017 0.0126532 0.743277 0.00343738 0.00101694 0.00819888 0.00491329 0.279796 0.458568
6 0.001329 0.000848 0.000090 0.002499 1 0.990973 0.0105597 0.762909 0.00328633 0.00102367 0.00624975 0.00415285 0.189616 0.56914
6 0.001560 0.000980 0.000104 0.003122 1 0.98978 0.0115308 0.757312 0.00328531 0.00102055 0.00722489 0.00450965 0.233512 0.51929
6 0.001398 0.000920 0.000099 0.002820 1 0.989293 0.011076 0.759315 0.0032579 0.0010262 0.00679192 0.00434248 0.215507 0.539466
7 0.000420 0.000329 0.000053 0.001094 1 0.984798 0.00890523 0.765864 0.00386677 0.00112708 0.00391138 0.00397062 0.0760761 0.685818
7 0.000896 0.000571 0.000071 0.001878 1 0.982695 0.00945484 0.762433 0.00321814 0.00101596 0.00522074 0.00378742 0.138838 0.619808
6 0.001882 0.001148 0.000117 0.003609 1 0.98688 0.0125312 0.74513 0.00336795 0.00102609 0.0081372 0.00484171 0.278372 0.461916
6 0.001912 0.001184 0.000114 0.003556 1 0.986975 0.0124241 0.748779 0.00336163 0.00103216 0.00803035 0.00484134 0.272043 0.471895
7 0.000241 0.000208 0.000040 0.000496 1 0.806221 0.0227483 0.49121 0.0179019 0.00210734 0.00273913 0.00912732 0.0415228 0.440559
7 0.000217 0.000188 0.000039 0.000544 1 0.725066 0.0208994 0.431373 0.0161433 0.00193314 0.00282293 0.00787655 0.0373485 0.386148
6 0.003127 0.001804 0.000160 0.005210 1 1.48007 0.0157768 1.21963 0.00396007 0.00102749 0.0107892 0.00588589 0.402998 0.810747
6 0.003144 0.001879 0.000160 0.004400 1 1.48996 0.0152755 1.22824 0.00358905 0.00103376 0.0106527 0.00592838 0.411033 0.811279
8 0.000093 0.000106 0.000030 0.000207 1 0.655448 0.0178244 0.423899 0.0142879 0.00180185 0.00173461 0.00495 0.184222 0.234728
8 0.000112 0.000104 0.000031 0.000224 1 0.654237 0.0168289 0.435946 0.0133206 0.00176461 0.00174377 0.00504578 0.186787 0.244114
7 0.000382 0.000307 0.000050 0.000957 1 0.987759 0.00847591 0.777399 0.00373297 0.00109841 0.00364453 0.00367422 0.0620466 0.711678
7 0.000683 0.000448 0.000063 0.001489 1 0.986081 0.00842427 0.787187 0.00291681 0.000968292 0.00453917 0.00346731 0.10498 0.67874
6 0.001076 0.000695 0.000083 0.002545 1 0.989996 0.00981085 0.77089 0.00294794 0.00101046 0.00585245 0.00390538 0.168738 0.598247
6 0.001279 0.000790 0.000088 0.002469 1 0.993274 0.0100977 0.782222 0.00295668 0.000969374 0.00617166 0.00407412 0.186509 0.591639
7 0.000848 0.000580 0.000074 0.001881 1 0.985057 0.00899692 0.783382 0.0028422 0.00096723 0.00518749 0.00373338 0.138242 0.641407
7 0.001000 0.000604 0.000074 0.001897 1 0.984342 0.00906319 0.781151 0.00288085 0.000978061 0.00520427 0.00372761 0.137163 0.64026
